Num1,Num2,Num3,Num4,Num5,Num6,bnsNum,총1등당첨금,1등당첨인원,1등수령액
10,11,27,28,37,39,19,0,5,2227152000
9,11,15,20,28,43,13,0,7,1650210215
3,13,17,18,19,28,8,0,5,2109462840
8,12,29,31,42,43,2,0,6,1900552400
12,16,30,34,40,44,19,0,11,1018265564
26,27,28,42,43,45,8,0,3,3954584700
4,15,17,26,36,37,43,0,8,1402440413
2,3,13,20,27,44,9,0,3,3797838200
2,19,27,35,41,42,25,0,2,6043415250
4,6,13,21,40,42,36,0,7,1700040215
21,25,33,34,35,36,17,0,5,2323596420
2,11,21,34,41,42,27,0,7,1639052143
2,18,25,28,37,39,16,0,4,2831645850
1,2,10,13,18,19,15,0,4,2716634025
1,5,13,26,29,34,43,0,5,2278131840
3,8,11,12,13,36,33,0,4,2730526125
6,19,21,35,40,45,20,0,4,2836628700
16,19,20,32,33,41,4,0,9,1193005734
5,18,28,30,42,45,2,0,8,1401099900
19,26,30,33,35,39,37,0,2,5484903750
4,9,13,18,21,34,7,0,10,1069544340
1,18,30,41,42,43,32,0,6,1755407300
3,7,8,34,39,41,1,0,2,5490805350
22,34,36,40,42,45,44,0,7,1996876272
1,5,21,25,38,41,24,0,5,2308265760
7,11,26,28,29,44,16,0,7,1629726515
6,9,10,11,39,41,27,0,3,4054937900
5,13,18,19,22,42,31,0,2,6767426700
9,12,27,36,39,45,14,0,11,1111299982
24,27,28,30,36,39,4,0,5,2491222920
3,10,31,40,42,43,30,0,5,2349946920
16,27,35,37,43,45,19,0,5,2482888380
2,11,13,15,31,42,10,0,6,1923108250
4,16,25,29,34,35,1,0,6,1961339700
4,19,21,24,26,41,35,0,11,1081154073
3,9,24,30,33,34,18,0,8,1487736788
13,14,18,22,35,39,16,0,7,1771103058
19,26,28,31,33,36,17,0,5,2371132620
4,17,30,32,33,34,15,0,5,2314663080
1,10,13,16,37,43,6,0,7,1693285500
1,5,11,12,18,23,9,0,5,2254621080
5,9,17,25,39,43,32,0,10,1081093920
2,15,20,21,29,34,22,0,2,5763371550
14,21,23,32,40,45,44,0,6,1941763300
13,15,27,29,34,40,35,0,3,3721439400
2,18,24,34,40,42,5,0,6,1777221500
1,2,6,16,20,33,41,0,6,1747753050
1,2,4,8,19,38,14,0,3,3522485800
4,10,14,19,21,45,9,0,9,1187882600
1,2,8,18,29,38,42,0,7,1544733900
19,24,27,30,31,34,36,0,3,3501405200
8,14,32,35,37,45,28,0,3,3461775100
8,14,18,30,31,44,15,0,6,1784159450
5,6,24,25,32,37,8,0,4,2577114675
4,8,11,18,37,45,33,0,4,2445348375
6,14,18,26,36,39,13,0,3,3404449700
15,20,23,26,39,44,28,0,4,2650567875
7,10,19,22,35,40,31,0,11,918992591
35,36,37,41,44,45,30,0,15,727876520
7,12,16,34,42,45,4,0,6,1803018300
12,19,20,25,41,45,2,0,6,1797855050
14,21,22,25,30,36,43,0,2,5344252200
5,6,13,14,17,20,7,0,8,1344616613
3,11,24,38,39,44,26,0,1,9719465400
12,14,27,33,39,44,17,0,6,1893391700
1,3,11,24,30,32,7,0,5,2164564740
3,12,14,35,40,45,5,0,8,1358347125
1,3,21,29,35,37,30,0,6,1835221800
1,2,3,15,20,25,43,0,5,2032859340
3,11,14,31,32,37,38,0,5,2104673760
14,25,31,34,40,44,24,0,6,1760767400
2,7,18,20,24,33,37,0,6,1660896350
10,19,22,23,25,37,39,0,2,5139085950
12,13,17,20,33,41,8,0,10,1035800250
11,12,18,21,31,38,8,0,4,2660747250
2,3,4,5,20,24,42,0,8,1376678025
5,7,20,25,28,37,32,0,8,1406980875
2,3,7,15,43,44,4,0,7,1587689615
7,16,17,33,36,40,1,0,13,848506108
16,20,27,33,35,39,38,0,7,1611246172
1,8,14,18,29,44,20,0,4,2779075800
4,11,20,26,35,37,16,0,9,1208409167
5,11,19,21,34,43,31,0,6,1958094950
2,20,33,35,37,40,10,0,6,1800104250
5,7,28,29,39,43,44,0,5,2275193820
1,3,18,20,26,27,38,0,7,1498170600
4,19,26,27,30,42,7,0,6,1808969950
5,11,13,19,31,36,7,0,6,1777201800
2,6,8,14,21,22,34,0,6,1744100150
4,5,15,16,22,42,2,0,2,5253542400
17,25,35,36,39,44,23,0,9,1146700334
4,5,9,11,23,38,35,0,7,1451441100
5,11,14,29,32,33,12,0,8,1292929163
5,10,19,31,44,45,27,0,9,1088365900
8,9,10,12,24,44,35,0,9,1110918400
4,6,13,17,28,40,39,0,10,999153750
13,21,22,24,26,37,4,0,4,2519743875
21,22,26,27,31,37,8,0,3,3433330100
1,4,8,13,37,39,7,0,2,5030040150
1,11,17,21,24,44,33,0,7,1440630729
2,4,15,28,31,34,35,0,9,1121660567
11,15,24,39,41,44,7,0,9,1134140167
6,10,16,40,41,43,21,0,2,5098251450
2,16,24,27,28,35,21,0,4,2552016300
4,19,20,21,32,34,43,0,8,1234542375
2,12,17,19,28,42,34,0,4,2408850000
13,16,25,36,37,38,19,0,1,9121583100
9,11,27,31,32,38,22,0,7,1382583129
13,18,21,23,26,39,15,0,5,1911774240
12,15,28,36,39,40,13,0,6,1669313900
3,8,17,23,38,45,13,0,8,1227479363
3,8,27,31,41,44,11,0,6,1663568700
19,23,30,37,43,45,38,0,5,1994726280
6,7,19,25,28,38,45,0,8,1282616400
14,23,26,31,39,45,28,0,7,1391089715
8,19,25,31,34,36,33,0,4,2466189525
1,5,19,20,24,30,27,0,1,9741015900
1,5,6,24,27,42,32,0,6,1598618550
4,11,14,21,23,43,32,0,2,4891017000
6,13,27,31,32,37,4,0,4,2391377025
14,27,30,31,38,40,17,0,4,2426434350
4,5,14,35,42,45,34,0,2,4838533500
7,12,15,24,37,40,43,0,4,2310085575
6,11,16,18,31,43,2,0,3,3192299100
9,12,24,25,29,31,36,0,2,4518741600
1,27,28,32,37,40,18,0,6,1551704900
9,16,27,36,41,44,5,0,7,1344889200
5,9,34,37,38,39,12,0,8,1200838575
3,4,9,11,22,42,37,0,3,3207211700
7,8,24,34,36,41,1,0,3,3257663300
3,10,19,24,32,45,12,0,7,1350954515
5,18,20,36,42,43,32,0,5,1961399940
5,9,12,20,21,26,27,0,5,1927830060
3,8,9,27,29,40,36,0,6,1565918150
7,9,12,27,39,43,28,0,9,1104622800
1,8,24,31,34,44,6,0,3,3339543100
13,14,15,26,35,39,25,0,4,2505085575
14,19,20,35,38,40,26,0,1,10044066900
4,15,21,33,39,41,25,0,3,3312569000
10,12,13,15,25,29,20,0,3,3272627800
3,11,37,39,41,43,13,0,3,3186530000
7,16,31,36,37,38,11,0,5,1914205320
10,11,23,24,36,37,35,0,7,1355258529
1,3,4,6,14,41,12,0,6,1554683200
